[2024-11-12 12:48:43.765 PM] info: GET /products/allPoducts 200, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 12:51:39.810 PM] warn: GET /products/allPoduct 404, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 12:52:07.185 PM] info: GET / 200, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 02:16:54.710 PM] info: GET / 200, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 02:19:27.521 PM] warn: POST /product/createProduct 404, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 02:20:06.937 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:20:27.733 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:21:50.323 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:22:55.146 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:23:30.502 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:32:00.971 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:32:54.358 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:34:52.853 PM] warn: POST /api/products 404, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:35:28.541 PM] warn: POST /api/products/createProduct 404, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:36:05.758 PM] info: POST /products/createProduct 201, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:36:58.589 PM] info: GET /products/allProducts 200, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:41:23.676 PM] info: GET /products/viewProduct/67334bb50679043f81a49864 200, User ID: anonymous, IP Address: ::ffff:127.0.0.1
