[2024-11-12 02:20:06.937 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:20:27.733 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:21:50.323 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:22:55.146 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:23:30.502 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:32:00.971 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:32:54.358 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 03:50:37.430 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:18:36.969 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:19:26.026 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:24:03.952 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:26:25.865 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:35:47.884 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:36:29.284 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:38:05.750 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:39:52.081 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:39:55.059 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:40:46.974 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:41:33.105 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:42:05.283 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:42:53.255 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:48:11.364 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:48:52.366 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
[2024-11-12 04:53:39.932 PM] error: POST /products/createProduct 500, User ID: anonymous, IP Address: ::ffff:127.0.0.1
